"","zip","family_size","income_limit","year"
"754","162","10",54876.4027777778,"2017"
"755","162","11",63107.8631944444,"2017"
"756","162","NoAnswer",1,"2017"
"757","163","1",20925,"2017"
"758","163","2",23893.75,"2017"
"759","163","3",26900,"2017"
"760","163","4",29856.25,"2017"
"761","163","5",32262.5,"2017"
"762","163","6",34650,"2017"
"763","163","7",37031.25,"2017"
"764","163","8",39425,"2017"
"765","163","9",45338.75,"2017"
"766","163","10",52139.5625,"2017"
"767","163","11",59960.496875,"2017"
"768","163","NoAnswer",1,"2017"
"769","164","1",20266.6666666667,"2017"
"770","164","2",23150,"2017"
"771","164","3",26050,"2017"
"772","164","4",28916.6666666667,"2017"
"773","164","5",31250,"2017"
"774","164","6",33550,"2017"
"775","164","7",35866.6666666667,"2017"
"776","164","8",38183.3333333333,"2017"
"777","164","9",43910.8333333333,"2017"
"778","164","10",50497.4583333333,"2017"
"779","164","11",58072.0770833333,"2017"
"780","164","NoAnswer",1,"2017"
"781","165","1",29112.5,"2017"
"782","165","2",33275,"2017"
"783","165","3",37437.5,"2017"
"784","165","4",41575,"2017"
"785","165","5",44925,"2017"
"786","165","6",48250,"2017"
"787","165","7",51575,"2017"
"788","165","8",54900,"2017"
